show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int,duration_type
s1,TV Show,Serious inside else,Jennifer Bowers,"John Silva, Kathy Campbell, Lisa King, Victoria Patrick, Emily Blair",United Arab Emirates,2023-03-23,2001,R,8 Seasons,"Action & Adventure, Thrillers",Sort language ball floor. Your majority feeling fact by four two.,8.0,Seasons
s2,TV Show,Quickly candidate,Andrew Miller,"Sandra Vega, Kelly Boyd, Daniel Shelton, Jennifer Hill",Lithuania,2023-06-16,2018,PG-13,3 Seasons,"Thrillers, Comedies",Party main picture suddenly drug rule. Relate head color international.,3.0,Seasons
s3,Movie,Already against,Cathy Martinez,"Robert Giles, Jeffery Garcia, Daniel Lucas, Christopher Gordon",Armenia,2021-04-10,2017,TV-14,38 min,"Thrillers, Dramas",Employee toward like total now. Whom around put suddenly garden. Bring TV program actually race.,38.0,min
s4,Movie,Security stock ball,Melissa Moore,"Jerome Page, Shelly Johnson, Latoya Barton, Carol Brown",Reunion,2021-10-03,2015,TV-14,26 min,"Thrillers, Action & Adventure",Wear individual about add senior woman.,26.0,min
s5,TV Show,Next water,Susan Williams,"Meredith Rios, Stephanie Bowman, Joshua Clark",Myanmar,2022-11-22,2017,TV-MA,8 Seasons,"Documentaries, Sci-Fi & Fantasy",Character four smile responsibility.,8.0,Seasons
s6,TV Show,Buy break marriage,George Mcdaniel,"Christopher Cunningham, Wendy Miller",Sri Lanka,2021-02-19,2017,PG,2 Seasons,"Crime TV Shows, Action & Adventure",Article account hour million large. Small research describe base detail yourself one.,2.0,Seasons
s7,Movie,Perhaps bit,Isaiah Wilcox,"Kyle Freeman, Margaret Henderson, Meghan Barron, Yvette Reid, Kimberly Velazquez",Algeria,2023-04-24,2010,PG-13,84 min,"Crime TV Shows, Dramas",Now four management energy stay significant his. Artist political camera expert stop area.,84.0,min
s8,Movie,Along letter learn,Richard Smith,"Brandi Nguyen, Mariah Lee, Paula Rodriguez",Bahamas,2024-05-22,2007,PG-13,140 min,"Action & Adventure, Dramas",Behavior standard thousand single recognize. Medical watch certainly through instead base.,140.0,min
s9,Movie,Reality generation concern,Crystal Diaz,"Briana Smith, Monique Santana, Elaine Norris, Crystal Thomas",Korea,2021-05-16,2016,TV-MA,28 min,"Thrillers, Sci-Fi & Fantasy",Firm drug senior fact information. Technology over hour.,28.0,min
s10,TV Show,Impact individual rock,Damon Carter,"Travis Hogan, Justin Watts",South Africa,2024-03-18,2017,R,4 Seasons,"Documentaries, Sci-Fi & Fantasy",Set discussion seven evidence worker building this. A huge three.,4.0,Seasons
